Complexity metrics,to, 24 maj 2018 14:01:10 CEST, #
Method,ev(G),iv(G),v(G)
 -.- , Essential Cyclomatic complexity, Design complexity, Cyclomatic Complexity
"Benchmarker.BenchmarkDurationFactoryImpl.CreateNewDuration(String)",1,1,1
"Benchmarker.BenchmarkDurationImpl.BenchmarkDurationImpl(String)",1,1,1
"Benchmarker.BenchmarkDurationImpl.addDuration(long)",1,1,1
"Benchmarker.BenchmarkDurationImpl.getDuration()",1,1,1
"Benchmarker.BenchmarkDurationImpl.getTask()",1,1,1
"Benchmarker.BenchmarkDurationImpl.removeDuration(long)",1,1,1
"Benchmarker.BenchmarkDurationImpl.reset()",1,1,1
"Benchmarker.BenchmarkLogFactoryImpl.CreateNewLog(DBMS,Query,BenchmarkDurationFactory)",1,1,1
"Benchmarker.BenchmarkLogImpl.BenchmarkLogImpl(DBMS,Query,BenchmarkTimer)",1,1,1
"Benchmarker.BenchmarkLogImpl.GetTimer()",1,1,1
"Benchmarker.BenchmarkLogImpl.PrepareMeForLogging()",1,2,2
"Benchmarker.BenchmarkTimerImpl.BenchmarkTimerImpl(BenchmarkDurationFactory)",1,1,1
"Benchmarker.BenchmarkTimerImpl.getDurations()",1,1,1
"Benchmarker.BenchmarkTimerImpl.start(String)",1,1,1
"Benchmarker.BenchmarkTimerImpl.stop(String)",1,2,2
"Benchmarker.BenmarkLoggerImpl.BenmarkLoggerImpl(BenchmarkLogFactory,BenchmarkDurationFactory)",1,1,1
"Benchmarker.BenmarkLoggerImpl.CreateNewLog(Query,DBMS)",1,1,1
"Benchmarker.BenmarkLoggerImpl.PrintLog()",1,1,1
"Benchmarker.BenmarkLoggerImpl.Savelog(BenchmarkLog)",1,1,1
"DataAcessors.MongoDataAcessor.GetAllAuthors()",1,2,2
"DataAcessors.MongoDataAcessor.GetAllBooks()",1,2,2
"DataAcessors.MongoDataAcessor.GetAllCities()",1,2,2
"DataAcessors.MongoDataAcessor.GetBookByAuthor(String)",1,2,2
"DataAcessors.MongoDataAcessor.GetBooksByCity(int)",1,2,2
"DataAcessors.MongoDataAcessor.GetBooksInVicenety(double,double,int)",1,2,2
"DataAcessors.MongoDataAcessor.GetCitiesBybook(int)",1,2,2
"DataAcessors.MongoDataAcessor.GetCityBybook(int)",1,2,2
"DataAcessors.MongoDataAcessor.MongoDataAcessor(String)",1,1,1
"DataAcessors.MongoDataAcessor.close()",1,1,1
"DataAcessors.Neo4jDataAcessor.GetAllAuthors()",1,2,2
"DataAcessors.Neo4jDataAcessor.GetAllBooks()",1,2,2
"DataAcessors.Neo4jDataAcessor.GetAllCities()",1,2,2
"DataAcessors.Neo4jDataAcessor.GetBookByAuthor(String)",1,2,2
"DataAcessors.Neo4jDataAcessor.GetBooksByCity(int)",1,2,2
"DataAcessors.Neo4jDataAcessor.GetBooksInVicenety(double,double,int)",1,4,6
"DataAcessors.Neo4jDataAcessor.GetCitiesBybook(int)",1,2,2
"DataAcessors.Neo4jDataAcessor.GetCityBybook(int)",1,3,3
"DataAcessors.Neo4jDataAcessor.Neo4jDataAcessor(Driver)",1,1,1
"DataAcessors.Neo4jDataAcessor.close()",1,1,1
"DataAcessors.PostgresDataAcessor.GetAllAuthors()",1,3,3
"DataAcessors.PostgresDataAcessor.GetAllBooks()",1,3,3
"DataAcessors.PostgresDataAcessor.GetAllCities()",1,3,3
